Pos
SF
SF
SF
PF
C
PG
PF
SF
SF
SG
SG
C
SG
C
SF
PG
PG
SF
C
SG
PG
SG
C
SF
PF
C
PG
SF
SG
C
SF
PG
SF
PG
C
SG
PG
PF
C
PG
SF
PF
SG
C
C
C
PF
PF
PF
PF
PF
C
SF
PG
PG
SG
SG
PF
PF
PF
PF
PF
PG
SG
SF
PF
PG
SG
C
PG
PF
PF
PF
SG
C
SG
SG
PG
C
PF
C
PF
C
SF
SF
PG
PG
C
SG
SF
C
C
SF
PF
PF
SG
PF
PG
SF
PG
C
SG
PF
PG
SG
C
PF
C
C
PG
SG
PF
SF
PF
PG
C
PG
SF
C
C
PF
PF
PG
PG
SF
SG
SG
SG
SF
C
SF
C
PG
SF
C
C
PF
SG
PF
SG
PF
PG
SG
SF
SF
C
SF
PG
SG
SG
PF
C
SG
C
PF
PF
PG
SF
PF
C
PF
PG
PG
PF
PF
C
SF
SG
C
PG
C
PF
SF
PF
PF
SG
PG
PG
SG
PG
SG
PF
PF
PG
C
PF
C
C
C
C
C
C
SF
PF
C
PG
SF
SF
C
PG
SF
PF
SF
SG
SG
SF
C
SG
C
PF
PF
SF
SG
SF
SF
PG
C
PF
SG
PG
SG
PF
SG
SG
C
PF
C
C
SG
PF
PF
C
SF
SG
PG
PF
SG
SF
C
C
SF
PG
PF
SG
SF
SF
PF
PF
SG
SF
SF
PG
PG
PF
SG
C
PF
PG
SF
SF
PG
PG
PF
PG
SG
SF
SF
SG
PF
SF
SG
SF
PG
SG
PF
SF
C
PG
SF
PG
PF
C
SG
PG
SG
SG
SF
PF
SF
PF
PG
SG
SG
PF
SF
PF
SF
SG
SG
C
PF
PG
PF
SF
SG
PG
PF
SF
C
PF
C
C
SG
PF
PF
SG
SF
PG
PG
PF
C
PG
PG
SG
PG
C
PF
SG
PF
PF
SG
C
C
SG
PG
SF
PG
PG
C
C
PG
PG
SF
PG
PG
SG
C
PF
SF
SG
PF
PG
SG
SG
C
SG
PG
SF
SF
SG
C
SF
PF
SG
C
PG
PF
SF
PG
C
SF
C
SF
SF
SG
SG
PF
C
PF
SF
PF
PG
C
C
PG
SG
PG
C
SG
PG
PF
SG
SG
PF
SF
PF
PG
PG
SF
SF
PG
PF
PG
SF
SG
SF
PG
PF
PF
C
SG
PF
C
PF
SG
SF
SF
PF
SG
SG
PF
PF
C
C
PG
SG
C
SG
SF
PF
C
PG
PF
SF
PF
SF
SG
SF
PF
SF
SG
SG
C
SF
SF
SG
PG
SF
PG
PF
SG
C
C
PF
PF
SG
SG
PF
SG
PF
PF
PG
C
SG
C
C
SF
PG
SF
SG
PF
SG
C
SF
C
PF
PF
SG
C
C
SG
C
C
SG
PG
SG
SG
PF
PG
SF
PG
SG
SG
SG
SF
SG
PF
C
SG
SG
SG
PF
PF
SF
PF
C
PF
PF
SF
PF
PG
PG
PF
C
C
SG
C
SG
PG
SF
SF
SG
SG
PF
SG
SF
PG
SG
C
C
PF
PG
C
SG
SF
SF
PG
PG
PG
PG
C
SG
SF
PF
SF
SF
PF
C
PF
SF
SF
PF
SG
