,Pos,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5836,PG,5.367272727272727,12.436363636363636,0.5681454545454546,2.034196363636364,5.367272727272727,0.379,3.4128,7.2,0.474,0.515,4.34749090909091,5.367272727272727,0.81,0.26181818181818184,2.0945454545454547,2.487272727272727,6.0218181818181815,0.9163636363636364,0.13090909090909092,2.225454545454545,2.3563636363636364,17.28
5052,PF,7.365994236311239,14.109510086455328,0.5405187319884726,0.0,1.7779812256309282,0.0,7.365164265129682,14.109510086455328,0.522,0.521,3.8379942363112383,5.498559077809797,0.698,2.9048991354466858,6.432276657060519,9.337175792507203,2.9048991354466858,0.8299711815561959,0.5187319884726225,2.8011527377521612,3.631123919308357,18.46685878962536
2196,PG,5.8500000000000005,13.950000000000001,0.471375,2.456775,6.8625,0.358,3.3949124999999998,7.0874999999999995,0.479,0.508,3.394125,3.9375,0.862,0.6749999999999999,4.3875,5.175,9.225,2.25,0.33749999999999997,2.9250000000000003,2.8125,17.55
3730,PF,4.5,9.710526315789474,1.1202631578947368,0.4177578103701632,1.7779812256309282,0.234961879432624,4.593078947368421,9.710526315789474,0.473,0.473,0.5584736842105256,0.7105263157894737,0.785999999999999,2.605263157894737,7.105263157894737,9.947368421052634,1.8947368421052633,0.7105263157894737,0.9473684210526316,1.1842105263157896,4.2631578947368425,9.710526315789474
11733,SG,3.7894736842105265,7.815789473684211,1.1557894736842105,0.6991578947368401,2.1315789473684212,0.327999999999999,3.0978947368421053,5.684210526315789,0.545,0.531,2.7746052631578912,3.5526315789473686,0.780999999999999,0.9473684210526316,3.078947368421053,4.2631578947368425,3.3157894736842106,1.6578947368421053,0.2368421052631579,2.1315789473684212,3.7894736842105265,11.131578947368423
2562,PG,5.684210526315789,12.505263157894737,0.8696842105263158,1.3643999999999998,3.5999999999999996,0.379,4.3813894736842105,8.905263157894737,0.492,0.514,1.2636,1.7052631578947368,0.741,0.18947368421052632,2.6526315789473682,3.031578947368421,8.336842105263159,1.7052631578947368,0.18947368421052632,1.5157894736842106,1.3263157894736841,14.021052631578948
9113,C,4.736842105263158,9.473684210526317,1.1794736842105265,0.08991184248817634,0.5444291394371789,0.16514884302689162,4.717894736842106,9.473684210526317,0.498,0.498,2.3447368421052635,3.5526315789473686,0.66,2.8421052631578947,5.447368421052632,8.289473684210527,1.1842105263157896,0.7105263157894737,2.1315789473684212,3.078947368421053,6.631578947368421,11.842105263157896
10352,SG,5.023255813953488,11.616279069767442,0.44790697674418606,1.2782093023255783,3.2441860465116283,0.393999999999999,3.7004651162790703,8.372093023255815,0.442,0.484,1.8784883720930234,2.616279069767442,0.718,0.9418604651162791,2.72093023255814,3.7674418604651163,3.558139534883721,1.6744186046511629,0.313953488372093,2.0930232558139537,2.616279069767442,13.186046511627907
394,C,9.509433962264152,19.245283018867923,1.1139622641509435,0.12588679245283022,0.4528301886792453,0.278,9.358641509433962,18.79245283018868,0.498,0.496,4.389962264150943,5.2075471698113205,0.843,3.1698113207547167,6.339622641509433,9.735849056603772,2.0377358490566038,0.6792452830188679,0.9056603773584906,2.490566037735849,5.660377358490566,23.547169811320757
3429,PF,1.894736842105263,4.601503759398495,0.5521804511278194,0.0,1.7779812256309282,0.0,1.89581954887218,4.601503759398495,0.412,0.408,2.1390225563909775,3.9248120300751874,0.545,5.413533834586466,10.150375939849624,15.56390977443609,1.7593984962406015,1.3533834586466165,0.2706766917293233,1.7593984962406015,4.060150375939849,5.954887218045113
