FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6.3,12.959999999999999,0.8802,0.072,0.18,0.4,6.2622,12.78,0.49,0.491,2.93436,3.96,0.741,2.3400000000000003,3.7800000000000002,5.9399999999999995,2.52,1.0799999999999998,0.36,2.7,4.5,15.66
6.365853658536586,15.585365853658537,0.4532926829268293,1.274268292682927,4.719512195121951,0.27,5.161280487804879,10.865853658536587,0.475,0.453999999999999,2.1775609756097563,3.4024390243902443,0.64,2.524390243902439,4.719512195121951,7.134146341463415,1.6463414634146343,0.6585365853658537,1.3170731707317074,1.975609756097561,3.182926829268293,16.243902439024392
9.847058823529412,19.905882352941177,0.5251764705882354,1.9641176470588235,5.294117647058823,0.371,7.919576470588235,14.611764705882353,0.542,0.546,6.420070588235294,7.517647058823529,0.854,1.3764705882352943,6.352941176470588,7.729411764705882,3.4941176470588236,1.9058823529411764,0.4235294117647059,2.1176470588235294,1.588235294117647,28.16470588235294
5.366459627329191,10.956521739130434,1.088944099378882,0.0,1.7779812256309282,0.0,5.368695652173912,10.956521739130434,0.49,0.487,1.4802484472049688,2.2360248447204967,0.662,3.801242236024844,6.931677018633541,10.732919254658382,1.1180124223602483,0.6708074534161489,0.6708074534161489,1.5652173913043477,4.024844720496894,12.298136645962732
6.947368421052632,10.421052631578947,2.106315789473684,0.3157894736842105,0.3157894736842105,1.0,6.679578947368411,10.105263157894736,0.660999999999999,0.675,1.6471578947368422,2.526315789473684,0.652,5.999999999999999,8.526315789473685,14.526315789473683,1.263157894736842,0.631578947368421,1.8947368421052628,1.5789473684210527,6.315789473684211,15.473684210526315
5.162264150943396,11.547169811320755,0.6031698113207548,0.26653584905660377,1.2226415094339622,0.218,4.8525283018867915,10.324528301886792,0.47,0.455,3.0354113207547133,3.8037735849056604,0.797999999999999,0.5433962264150943,2.581132075471698,3.124528301886792,6.113207547169812,1.2226415094339622,0.13584905660377358,2.4452830188679244,3.124528301886792,13.584905660377359
3.227586206896552,12.413793103448276,0.6206896551724138,1.2652137931034482,6.951724137931034,0.182,1.9015448275862012,5.710344827586207,0.332999999999999,0.3,2.5550237484339062,3.6037122018578573,0.7089977238239751,1.2413793103448276,3.7241379310344827,4.9655172413793105,3.227586206896552,0.7448275862068965,1.2413793103448276,1.2413793103448276,3.227586206896552,7.448275862068965
5.8753709198813056,11.857566765578634,0.526646884272997,0.2768902077151335,0.8545994065281899,0.324,5.578504451038575,11.002967359050444,0.507,0.505,3.943121661721068,5.127596439169139,0.769,1.922848664688427,4.059347181008901,5.982195845697329,3.6320474777448064,0.9614243323442135,0.10682492581602374,2.2433234421364987,3.6320474777448064,16.02373887240356
4.608996539792388,11.335640138408303,0.5044982698961938,2.1986159169550175,6.228373702422146,0.353,2.4004152249134947,5.107266435986159,0.47,0.503,1.857301038062284,2.6159169550173016,0.71,1.1211072664359862,3.612456747404844,4.608996539792388,3.238754325259516,1.245674740484429,0.49826989619377166,1.370242214532872,1.9930795847750866,13.204152249134948
4.835820895522388,10.208955223880597,0.8614925373134327,0.11928358208955188,0.3582089552238806,0.332999999999999,4.710089552238806,9.671641791044776,0.487,0.488,1.1946268656716417,1.7910447761194028,0.667,1.0746268656716416,3.7611940298507465,4.835820895522388,3.7611940298507465,1.4328358208955223,0.1791044776119403,1.9701492537313432,3.0447761194029845,11.104477611940299
2.7226890756302518,8.470588235294118,0.9347899159663866,0.13431932773109242,1.2100840336134453,0.111,2.56386554621848,7.563025210084033,0.338999999999999,0.316,2.8352268907563025,3.327731092436975,0.852,1.2100840336134453,1.8151260504201678,3.0252100840336134,4.840336134453781,1.2100840336134453,0.3025210084033613,2.4201680672268906,3.0252100840336134,8.470588235294118
4.371428571428571,9.257142857142856,1.2342857142857144,0.0,0.5444291394371789,0.0,4.4712,9.257142857142856,0.483,0.48,1.398857142857143,2.5714285714285716,0.544,3.6,6.171428571428571,9.77142857142857,1.5428571428571427,1.2857142857142858,1.5428571428571427,1.5428571428571427,6.171428571428571,10.285714285714286
6.095238095238096,13.333333333333334,0.8704761904761906,1.0217142857142858,3.428571428571429,0.298,5.061333333333335,9.904761904761907,0.511,0.495,2.2339047619047623,3.047619047619048,0.733,1.523809523809524,3.047619047619048,4.571428571428571,4.000000000000001,2.0952380952380953,0.1904761904761905,2.857142857142857,4.380952380952381,15.428571428571427
4.246153846153846,9.784615384615384,0.7883076923076923,0.046153846153846156,0.36923076923076925,0.125,4.185600000000001,9.600000000000001,0.436,0.429,1.5596307692307692,2.0307692307692307,0.768,2.953846153846154,5.907692307692308,8.86153846153846,1.2923076923076924,0.7384615384615385,1.6615384615384614,1.476923076923077,3.8769230769230774,9.96923076923077
5.413533834586466,11.6390977443609,1.2559398496240575,1.1557894736842105,3.789473684210526,0.305,4.238796992481203,7.849624060150375,0.54,0.514,1.7778045112781953,2.1654135338345863,0.821,1.3533834586466165,5.413533834586466,6.7669172932330826,1.3533834586466165,1.0827067669172932,1.0827067669172932,1.894736842105263,4.601503759398495,13.804511278195488
2.796116504854369,6.990291262135922,1.3106796116504853,1.110522364163161,3.504212189045108,0.31691070752932243,2.6213592233009706,6.990291262135922,0.375,0.375,2.6213592233009706,3.495145631067961,0.75,0.0,1.7475728155339805,1.7475728155339805,3.495145631067961,1.7475728155339805,0.0,2.796116504854369,3.495145631067961,8.03883495145631
4.3534883720930235,12.055813953488371,0.6044651162790697,2.1993488372093024,6.195348837209303,0.355,2.095032558139535,5.693023255813953,0.368,0.453999999999999,1.093060465116279,1.3395348837209302,0.816,0.5023255813953488,2.009302325581395,2.511627906976744,4.52093023255814,0.6697674418604651,0.16744186046511628,2.009302325581395,2.8465116279069766,11.888372093023255
5.575757575757576,13.575757575757576,0.49333333333333335,1.7791515151515152,4.96969696969697,0.358,3.743636363636363,8.606060606060606,0.435,0.472,1.675272727272727,2.0606060606060606,0.813,0.8484848484848485,3.6363636363636362,4.484848484848485,1.4545454545454544,0.9696969696969697,0.12121212121212122,1.4545454545454544,2.4242424242424243,14.545454545454545
4.909090909090909,13.09090909090909,1.0336363636363637,0.08991184248817634,0.5444291394371789,0.16514884302689162,4.961454545454545,13.09090909090909,0.379,0.379,0.0,0.8181818181818181,0.0,3.2727272727272725,4.909090909090909,8.181818181818182,0.8181818181818181,0.8181818181818181,0.0,3.545454545454546,3.2727272727272725,10.090909090909093
